id;Item_Name;Category;Category_Id;Item_Buyed_Price;Item_Selling_Price
134;Remy;Tools;2;36;40.68
135;Lemaitre;Computing;1;88;93.28
136;Lucas;Games;6;38;43.32
137;Pasquier;Computing;2;54;57.78
138;Boyer;Tools;1;66;72.6
139;Lenoir;Games;6;35;39.9
140;De Sousa;UNKNOWN;5;83;91.3
141;Rey;Cooking;4;38;42.56
142;Da Costa;Cooking;6;74;82.14
143;Leduc;Tools;2;66;73.26
144;Moreno;Furniture;3;21;22.26
145;Lacroix;Computing;3;96;101.76
146;Guillaume;Computing;4;96;104.64
147;Toussaint;Tools;5;16;17.92
148;Couturier;Tools;3;88;92.4
149;Costa;Cooking;6;68;77.52
150;Baron;Games;2;43;46.01
151;Francois;Cooking;3;81;89.91
152;Julien;Cooking;4;56;60.480000000000004
153;Martins;Cooking;2;71;77.39
154;Pages;UNKNOWN;6;47;53.58
155;Dumas;Furniture;3;55;61.05
156;Bertin;Cooking;6;85;93.5
157;Delahaye;Computing;4;24;27.36
158;Roussel;Computing;3;85;96.05
159;Antoine;Furniture;1;66;73.26
160;Chretien;Tools;3;24;25.68
161;Bouvier;Tools;3;95;105.45
162;Guillou;Tools;1;61;64.05
163;Fouquet;Tools;5;63;70.56
164;Marchand;Tools;2;12;13.08
165;Pons;Tools;6;12;12.72
166;Antoine;Tools;3;69;72.45
167;Aubert;Furniture;5;11;12.43
168;Blanc;Tools;6;94;106.22
169;Boucher;Tools;1;26;27.56
170;Roy;Games;5;45;49.05
171;Tanguy;Tools;1;75;86.25
172;Laurent;UNKNOWN;4;60;66.6
173;Jacquet;UNKNOWN;5;60;63.0
174;Etienne;Computing;1;34;36.72
175;Charles;Furniture;2;69;73.83
176;Noel;Cooking;4;41;45.51
177;Munoz;Cooking;1;95;100.7
178;Albert;Cooking;4;39;44.07
179;Da Costa;UNKNOWN;1;36;41.04
180;Moreno;Furniture;3;77;85.47
181;Didier;Furniture;4;45;48.15
182;Dupre;Cooking;1;82;86.92
183;Roux;Computing;2;69;78.66
184;Cousin;Games;4;92;98.44
185;Gauthier;Tools;4;80;88.0
186;Toussaint;Games;1;20;23.0
187;Leger;Computing;3;16;18.4
188;Imbert;UNKNOWN;5;71;75.26
189;Roger;Cooking;5;41;44.69
190;Benoit;UNKNOWN;2;68;74.12
191;Ruiz;Cooking;6;14;15.26
192;Leleu;Games;2;93;106.02
193;Hernandez;Cooking;2;46;51.980000000000004
194;Gomez;Tools;3;27;29.43
195;Samson;Cooking;6;59;62.54
196;Texier;Computing;2;30;31.5
197;Morin;Games;3;90;97.2
198;Fleury;Games;2;90;96.3
199;Roy;Furniture;5;10;11.4
200;Blondel;Computing;3;86;98.03999999999999
201;Duval;Furniture;5;93;100.44
202;Tessier;Furniture;1;17;19.21
203;Cousin;Tools;2;94;107.16
204;Ferreira;Furniture;4;22;25.3
205;Lamy;Games;1;95;104.5
206;Roux;Cooking;2;35;36.75
207;Vincent;Computing;5;14;15.96
208;Leleu;UNKNOWN;2;92;101.2
209;Perrier;Furniture;1;79;84.53
210;Gonzalez;UNKNOWN;5;63;66.78
211;Lelievre;Cooking;4;89;102.35
212;Moulin;Cooking;5;32;36.16
213;Benoit;Computing;3;44;47.96
214;Guibert;Furniture;6;15;17.1
215;Rousseau;Games;5;67;73.03
216;Guilbert;UNKNOWN;3;29;30.45
217;Meunier;Computing;2;42;44.94
218;Fournier;Furniture;1;34;39.1
219;Weiss;Games;4;83;92.13
220;Garnier;Tools;3;48;54.72
221;Bourgeois;Cooking;3;73;76.65
222;Bigot;Cooking;5;42;45.78
223;Muller;Furniture;4;47;52.17
224;Guibert;UNKNOWN;2;95;101.65
225;Moreau;Computing;5;67;76.38
226;Vincent;Furniture;4;63;68.67
227;Guichard;Tools;4;77;81.62
228;Berthelot;Tools;1;96;101.76
229;Nicolas;Games;2;32;35.84
230;Lagarde;Furniture;6;62;65.1
231;Leclercq;Tools;3;95;105.45
232;Bouvier;UNKNOWN;3;37;39.96
233;Bernier;Cooking;3;23;25.07
234;Labbe;Computing;6;51;57.63
235;Couturier;Games;5;58;65.54
236;Renaud;Tools;3;95;105.45
237;Jacquot;Games;6;63;68.04
238;Bernard;Cooking;3;10;11.4
239;Lombard;Computing;1;68;71.4
240;Leclerc;UNKNOWN;2;59;65.49
241;Pons;UNKNOWN;6;13;14.56
242;Charles;Tools;5;81;85.05
243;Delorme;UNKNOWN;5;36;37.8
244;Poulain;Computing;5;81;93.15
245;Guillou;UNKNOWN;3;68;78.2
246;Jacques;Furniture;1;53;60.42
247;Arnaud;Games;1;12;13.68
248;Pruvost;Tools;5;36;41.04
249;Louis;Furniture;4;25;26.75
250;David;Games;2;91;101.92
251;Bouchet;Games;2;89;100.57
252;Lefebvre;UNKNOWN;3;10;10.6
253;Dos Santos;Tools;4;57;60.42
254;Masse;Computing;2;65;73.45
255;Maillard;Games;3;10;10.5
256;Marie;Cooking;6;99;109.89
257;Chevalier;Furniture;2;40;45.2
258;Lejeune;Tools;4;34;39.1
259;Perrier;Tools;1;37;42.18
260;Colas;Games;4;21;23.31
261;Bouvet;Computing;5;96;102.72
262;Duval;Computing;3;10;10.9
263;Guillaume;UNKNOWN;6;52;57.72
264;Riou;Tools;6;48;50.88
265;Germain;Tools;2;63;68.67
266;Jourdan;Computing;5;93;105.09
267;Texier;Computing;4;90;101.7
268;Weber;Furniture;2;35;39.55
269;Clement;Furniture;5;61;67.71
270;Leger;Furniture;2;99;112.86
271;Mathieu;Cooking;3;91;99.19
272;Vaillant;Tools;5;80;86.4
273;Bouchet;Games;6;94;104.34
274;Munoz;Cooking;1;55;58.85
275;Le Roux;Cooking;5;93;98.58
276;Duhamel;Computing;2;24;26.88
277;Bruneau;UNKNOWN;3;41;43.05
278;Torres;Tools;1;26;28.08
279;Gaillard;Furniture;2;62;69.44
280;Guillot;UNKNOWN;4;84;95.76
281;Bernier;Furniture;5;39;42.9
282;Berthelot;UNKNOWN;3;47;51.230000000000004
283;Gomez;Tools;5;97;101.85
284;Hamel;Tools;1;85;93.5
285;Navarro;UNKNOWN;5;77;87.01
286;Girard;UNKNOWN;5;49;52.92
287;Marchal;Cooking;5;91;98.28
288;Gauthier;Tools;4;34;36.72
289;Boulanger;Tools;4;76;82.08
290;Lemaire;Furniture;3;19;20.52
291;Adam;Cooking;3;50;53.0
292;Seguin;Tools;6;69;73.83
293;Ruiz;Furniture;4;91;101.01
294;Mallet;Tools;4;27;30.509999999999998
295;Raymond;Cooking;6;30;33.0
296;Bourdon;Games;6;17;19.04
297;Olivier;Tools;5;98;111.72
298;Le Goff;UNKNOWN;5;69;75.21
299;Deschamps;Games;2;24;26.4
300;Boulay;Tools;3;26;29.38
301;Legendre;Games;1;71;81.65
302;Lopez;Furniture;3;64;67.84
303;Ollivier;Computing;1;17;18.53
304;Schneider;Cooking;1;27;28.35
305;Moreno;Cooking;3;85;94.35
306;Gomes;Tools;2;86;98.03999999999999
307;Leconte;UNKNOWN;4;70;74.9
308;Berger;Furniture;2;24;26.64
309;Hardy;UNKNOWN;4;22;24.86
310;Leroux;UNKNOWN;5;87;97.44
311;Meyer;Furniture;3;56;62.72
312;Martin;Cooking;1;77;80.85
313;Potier;Cooking;5;48;53.28
314;Royer;Cooking;5;85;93.5
315;Robin;UNKNOWN;3;81;90.72
316;Richard;Furniture;4;38;40.66
317;Fouquet;Furniture;6;86;91.16
318;Le Goff;Furniture;5;22;23.54
319;Merle;Games;5;61;64.66
320;Verdier;UNKNOWN;3;16;17.6
321;Guyon;UNKNOWN;2;11;11.88
322;Bernier;UNKNOWN;6;81;92.34
323;Dias;Tools;4;74;85.1
324;Bonnet;UNKNOWN;3;14;14.84
325;Julien;Cooking;6;32;34.88
326;Gomes;Tools;4;16;17.6
327;Delorme;Tools;6;54;61.56
328;Delattre;Tools;6;84;88.2
329;Laporte;UNKNOWN;5;34;36.04
330;Gosselin;Games;4;90;94.5
331;Lenoir;Computing;4;38;41.8
332;Bigot;Games;2;30;33.6
333;Becker;Computing;5;23;24.84
334;Peltier;Computing;3;30;33.6
335;Humbert;UNKNOWN;1;83;95.45
336;Rossi;Tools;6;15;17.25
337;Maurice;Computing;1;58;65.54
338;Dos Santos;Furniture;5;43;45.58
339;Martineau;Furniture;1;18;19.8
340;Alexandre;Computing;1;26;27.3
341;Sauvage;Computing;6;50;56.5
342;Vallee;Cooking;2;87;97.44
343;Vincent;Furniture;3;70;74.9
344;Etienne;Tools;3;68;77.52
345;Blondel;Computing;4;67;71.69
346;Fernandez;Furniture;6;30;31.5
347;Fernandez;Games;5;88;101.2
348;Rodrigues;Cooking;6;94;98.7
349;Lefevre;Cooking;2;36;39.6
350;Besson;Games;3;68;76.84
351;Faure;Tools;3;98;109.76
352;Denis;Furniture;6;95;100.7
353;Normand;Computing;5;84;91.56
354;Breton;Computing;3;78;81.9
355;Adam;Cooking;2;13;14.17
356;Boulay;Furniture;3;84;89.88
357;Lefebvre;Cooking;1;44;50.16
358;Lagarde;Furniture;2;18;19.08
359;Lagarde;Games;4;21;22.47
360;Rodriguez;Furniture;6;28;31.08
361;De Oliveira;Furniture;5;28;30.8
362;Vincent;Games;4;38;41.42
363;Vidal;Games;1;84;91.56
364;Andre;UNKNOWN;6;42;45.36
365;Leduc;Tools;2;40;45.2
366;Grenier;Tools;6;46;48.3
367;Coulon;Furniture;6;12;13.68
368;Blot;Tools;4;89;98.78999999999999
369;Benard;UNKNOWN;5;45;51.3
370;Guillaume;Cooking;2;39;44.07
371;Lopes;Games;3;85;92.65
372;Bousquet;UNKNOWN;6;85;93.5
373;Picard;Games;5;23;24.38
374;Boulanger;Furniture;5;94;101.52
375;Mace;Games;2;56;59.36
376;Laurent;Games;5;17;18.36
377;Denis;Cooking;5;99;108.9
378;Picard;UNKNOWN;3;77;80.85
379;Ruiz;UNKNOWN;1;78;88.14
380;Henry;Games;6;56;63.28
381;Maurice;Tools;5;66;70.62
382;Marty;Cooking;4;24;26.16
383;Petit;Furniture;4;79;82.95
384;Coste;Furniture;1;63;70.56
385;Bodin;Computing;6;35;40.25
386;Letellier;Furniture;3;89;94.34
387;Teixeira;Tools;1;65;69.55
388;Petitjean;Computing;5;86;90.3
389;Noel;Tools;6;80;90.4
390;Leclerc;Games;4;61;65.88
391;Bernier;Cooking;1;72;78.48
392;Costa;Computing;3;89;102.35
393;Leclerc;Computing;1;43;47.3
394;Maury;Games;2;46;49.68
395;Thomas;Games;6;83;90.47
396;Chauveau;UNKNOWN;5;51;56.1
397;Delaunay;Furniture;5;30;32.4
398;Pichon;Games;3;39;42.51
399;Lebon;Furniture;6;58;64.38
400;Lefort;Computing;2;56;59.92
401;Ruiz;Games;4;60;65.4
402;Simon;Computing;6;39;42.12
403;Henry;Cooking;6;67;77.05
404;Potier;Tools;5;57;62.13
405;Rousset;Games;2;77;81.62
406;Turpin;Games;4;47;49.35
407;Diallo;UNKNOWN;2;29;30.74
408;Perret;Computing;6;65;70.2
409;Descamps;Furniture;2;23;24.15
410;Laurent;UNKNOWN;1;13;14.17
411;Pons;UNKNOWN;5;15;15.75
412;Laporte;Furniture;1;81;85.05
413;Bazin;Games;5;41;45.1
414;Verdier;Games;3;48;50.88
415;Clement;Furniture;6;55;57.75
416;Turpin;Cooking;4;23;25.07
417;Ferreira;Computing;5;98;104.86
418;Dupuy;Games;2;49;53.9
419;Garcia;UNKNOWN;1;62;66.34
420;Ollivier;Computing;1;82;91.84
421;Chauveau;Games;5;39;41.34
422;Chevalier;Furniture;3;86;98.03999999999999
423;Carpentier;Tools;6;25;26.25
424;Lefort;Furniture;6;68;77.52
425;Maillard;Computing;2;24;27.6
426;Pons;Furniture;6;21;24.15
427;Labbe;Cooking;6;84;92.4
428;Leroy;Tools;5;71;75.97
429;Renaud;Tools;3;55;61.05
430;Godard;Tools;3;88;98.56
431;Lacombe;Games;2;86;96.32
432;Foucher;Tools;6;51;57.12
433;Renaud;Tools;5;42;46.62
434;Dubois;Furniture;5;84;89.04
435;Costa;Cooking;2;50;57.0
436;Prevost;Furniture;3;33;36.3
437;Boyer;Games;3;72;75.6
438;Maillet;Tools;3;69;72.45
439;Bertrand;UNKNOWN;2;16;17.28
440;Petit;UNKNOWN;5;39;44.07
441;Delattre;UNKNOWN;4;97;111.55
442;Gomez;Tools;1;43;48.16
443;Moreno;Furniture;6;98;110.74
444;Ruiz;Tools;1;49;51.94
445;Lefebvre;Furniture;4;35;37.45
446;Roussel;Computing;5;58;61.48
447;Charles;Furniture;6;83;91.3
448;Mallet;Furniture;5;95;99.75
449;Garnier;Furniture;2;24;25.68
450;Hamel;Games;6;35;36.75
451;Lejeune;Computing;1;39;43.68
452;Letellier;Games;3;72;79.2
453;Fabre;Furniture;5;71;77.39
454;Lefevre;UNKNOWN;2;57;64.98
455;Perez;UNKNOWN;6;66;75.9
456;Carpentier;Cooking;1;93;102.3
457;Dupuy;Computing;1;43;48.16
458;Allain;Cooking;5;10;11.2
459;Olivier;Games;3;40;43.2
460;Hardy;UNKNOWN;1;86;95.46000000000001
461;Techer;Cooking;6;78;87.36
462;Vincent;Computing;1;88;97.68
463;Moulin;Games;4;66;74.58
464;Fabre;Furniture;1;33;35.31
465;Marchal;Tools;3;32;36.8
466;Guyot;UNKNOWN;4;96;108.48
467;Boutin;Tools;5;84;94.92
468;Lacroix;UNKNOWN;2;17;19.38
469;Begue;Tools;4;45;51.3
470;Pelletier;UNKNOWN;4;79;90.85
471;Marchal;Furniture;3;74;82.88
472;Delannoy;UNKNOWN;3;12;12.72
473;Daniel;Cooking;6;70;76.3
474;Guichard;Furniture;3;48;55.2
475;Seguin;Tools;4;96;110.4
476;Maillot;Tools;3;69;73.83
477;Dias;UNKNOWN;6;91;102.83
478;Dias;UNKNOWN;1;97;110.58
479;Pichon;Tools;2;39;41.34
480;Gregoire;UNKNOWN;6;13;13.65
481;Descamps;Furniture;2;41;43.05
482;Perret;Computing;1;59;67.85
483;Merle;Tools;3;62;65.1
484;Guibert;Games;5;88;98.56
485;Ledoux;Computing;4;58;66.7
486;Hoareau;Furniture;4;69;75.21
487;Coulon;Cooking;1;60;67.8
488;Mace;Furniture;1;15;16.5
489;Gomes;Furniture;3;41;44.69
490;Joly;Furniture;4;20;21.4
491;Martel;Cooking;1;85;90.1
492;Dumont;Computing;1;97;109.61
493;Albert;Computing;1;75;81.0
494;Schneider;Furniture;1;27;31.05
495;Clerc;Games;1;94;104.34
496;Coste;UNKNOWN;5;48;52.8
497;Hamon;Furniture;2;98;109.76
498;De Sousa;Computing;2;77;86.24
499;Ribeiro;Cooking;2;26;28.34
500;Bonnin;Tools;5;70;77.7
501;Lefebvre;UNKNOWN;3;73;83.22
502;Baron;Tools;6;93;103.23
503;Pires;Furniture;3;22;23.98
504;Baron;Furniture;4;54;58.32
505;Lemoine;Games;2;92;98.44
506;Couturier;Cooking;4;12;13.08
507;Gaillard;Cooking;5;97;102.82
508;Olivier;Tools;2;54;59.4
509;Garnier;Cooking;6;84;89.04
510;Bailly;Cooking;5;55;61.05
511;Perrier;Games;4;86;92.02
512;Garcia;Tools;2;18;19.62
513;Tessier;UNKNOWN;4;86;96.32
514;Gomes;Computing;3;19;21.09
515;Bodin;Games;2;88;98.56
516;Lenoir;Games;1;20;22.4
517;Jean;Games;1;94;101.52
518;Morvan;UNKNOWN;3;71;78.81
519;Duval;UNKNOWN;2;34;38.42
520;Bouchet;Tools;1;86;92.88
521;Allard;UNKNOWN;1;11;11.88
522;Robin;Cooking;1;27;29.16
523;Leblanc;Tools;3;62;65.1
524;Ferreira;Computing;5;63;69.3
525;Michaud;Computing;5;79;84.53
526;Guillet;Cooking;2;64;69.12
527;Mace;Computing;2;78;81.9
528;Laroche;Games;5;19;19.95
529;Guillon;Tools;3;24;26.64
530;Sanchez;Computing;5;73;81.03
531;Baudry;Furniture;1;43;46.44
532;Salmon;UNKNOWN;1;46;50.6
533;Reynaud;Cooking;4;51;55.59
534;Clement;Games;3;76;81.32
535;Evrard;Cooking;5;60;69.0
536;Giraud;Cooking;1;63;71.82
537;Da Silva;Tools;5;45;48.15
538;Jourdan;Computing;2;84;88.2
539;Dubois;UNKNOWN;5;32;36.8
540;Aubry;Furniture;2;86;97.18
541;Valette;Games;5;52;58.24
542;Charles;Tools;6;24;27.12
543;Boucher;UNKNOWN;2;45;47.7
544;Royer;Computing;2;89;93.45
545;Fleury;Cooking;2;26;27.3
546;Verdier;Tools;4;41;45.51
547;Bonneau;UNKNOWN;3;95;109.25
548;Clerc;Tools;1;50;55.0
549;Hernandez;Furniture;1;44;50.6
550;Fabre;Furniture;3;33;36.3
551;Petitjean;Computing;4;10;11.5
552;Vasseur;Tools;1;93;97.65
553;Samson;Games;4;87;92.22
554;Blin;Cooking;5;55;61.05
555;Dupre;Computing;3;47;50.76
556;Loiseau;Furniture;2;86;97.18
557;Raymond;Tools;1;97;110.58
558;Da Costa;Furniture;2;57;62.13
559;Delorme;Cooking;3;69;78.66
560;Bourgeois;Games;3;21;23.73
561;Fleury;Tools;5;33;35.64
562;Lefort;Cooking;5;78;84.24
563;Remy;Computing;6;45;49.5
564;Caron;Computing;5;38;42.18
565;Fernandes;Cooking;5;77;81.62
566;Barbier;UNKNOWN;2;52;58.76
567;Vallet;Furniture;3;36;37.8
568;Muller;Tools;1;63;66.15
569;Delannoy;Games;4;93;106.02
570;Fouquet;Tools;1;34;36.38
571;Buisson;Computing;4;22;23.1
572;Marin;Furniture;3;58;64.38
573;Parent;Tools;1;62;65.72
574;Lacroix;UNKNOWN;1;71;81.65
575;Verdier;Games;4;82;94.3
576;Jacquet;Furniture;1;51;57.12
577;Thibault;Games;6;19;20.9
578;Guillou;Furniture;5;43;47.3
579;Coulon;Tools;1;11;12.43
580;Jacquot;Cooking;3;55;61.05
581;Gaudin;Tools;3;39;44.07
582;Clerc;Computing;2;51;54.57
583;Blondel;Games;6;72;82.8
584;Girard;Furniture;4;20;21.0
585;Marion;Computing;3;98;103.88
586;Alexandre;Tools;6;73;76.65
587;Joseph;Furniture;4;19;20.14
588;Ribeiro;Tools;3;75;84.75
589;Hubert;Computing;4;17;17.85
590;Martins;Cooking;1;36;41.04
591;Didier;Furniture;1;66;74.58
592;Berthelot;Games;5;22;23.32
593;Clerc;UNKNOWN;5;86;92.88
594;Bonneau;UNKNOWN;5;16;18.4
595;Gerard;Tools;3;74;83.62
596;Millet;Games;3;74;85.1
597;Bonneau;Tools;2;23;25.3
598;Girard;Tools;5;34;37.06
599;Masse;UNKNOWN;5;91;103.74
600;Goncalves;Computing;6;78;85.02
601;Martel;Games;5;20;22.4
602;Hoareau;UNKNOWN;5;84;94.92
603;Guilbert;Furniture;5;44;49.28
604;Colas;Furniture;6;64;67.2
605;Wagner;Tools;6;13;14.95
606;Hoarau;UNKNOWN;1;32;35.2
607;Raymond;Furniture;6;22;23.76
608;Courtois;UNKNOWN;2;92;103.96000000000001
609;Lucas;Computing;3;75;81.0
610;Techer;Computing;3;54;58.32
611;Perrier;Furniture;3;40;46.0
612;Legros;Cooking;3;12;13.68
613;Le Roux;Games;1;55;62.15
614;Diaz;Furniture;4;99;108.9
615;Blanchet;Games;3;64;71.68
616;Gomes;Computing;1;12;13.32
617;Hardy;Computing;2;66;72.6
618;Besnard;Furniture;6;87;94.83
619;Joubert;Games;5;35;37.1
620;Dos Santos;Computing;1;13;14.17
621;Hardy;Games;3;99;104.94
622;Dijoux;UNKNOWN;6;84;89.88
623;Arnaud;Games;6;55;62.7
624;Sanchez;Furniture;2;66;73.92
625;Peron;Cooking;4;68;73.44
626;Lemaire;UNKNOWN;2;99;106.92
627;Bertrand;Tools;2;79;83.74
628;Klein;Computing;6;15;15.9
629;Joseph;Computing;6;83;87.15
630;Mendes;Cooking;2;67;73.03
631;Lebreton;Computing;2;62;68.82
632;Delahaye;UNKNOWN;3;32;36.8
633;Guyot;Furniture;1;22;24.86
634;Baudry;Computing;3;74;79.92
635;Fernandes;Cooking;3;79;86.9
636;Clement;Cooking;3;34;37.74
637;Martin;UNKNOWN;5;54;59.4
638;Voisin;Computing;3;19;20.14
639;Gomes;Computing;6;43;46.01
640;Tessier;Furniture;6;93;98.58
641;Blanchet;Tools;2;80;92.0
642;Lecoq;Computing;4;31;32.86
643;Le Goff;Furniture;4;58;65.54
644;Henry;Computing;6;52;57.72
645;Lelievre;Cooking;3;92;96.6
646;Thierry;Games;6;21;22.68
647;Laporte;Cooking;1;28;30.240000000000002
648;Leclercq;Cooking;5;69;77.28
649;Poirier;Tools;3;16;17.92
650;Moulin;Furniture;3;53;56.71
651;Guichard;Tools;5;50;52.5
652;Pires;Cooking;1;15;16.8
653;Moulin;Cooking;1;43;49.45
654;Blanc;Computing;6;11;12.65
655;Gauthier;Games;3;84;88.2
656;Pires;Furniture;4;63;69.93
657;Cohen;Games;6;48;51.84
658;Duhamel;Computing;5;33;37.95
659;Guillet;Tools;6;92;100.28
660;Marin;Tools;2;12;13.32
661;Marty;Tools;5;32;34.88
662;Diaz;Tools;2;41;46.33
663;Michaud;Tools;5;91;97.37
664;Fernandes;Furniture;2;23;25.07
665;Barre;Furniture;1;56;59.36
666;Coulon;Tools;2;63;69.3
667;Marin;Computing;1;23;25.759999999999998
668;Pichon;Furniture;3;18;19.8
669;Dumont;UNKNOWN;1;80;87.2
670;Dijoux;Furniture;3;48;53.28
671;Goncalves;Computing;5;67;72.36
672;Fleury;UNKNOWN;4;17;19.04
673;Perret;Tools;3;14;14.7
674;Lopez;Cooking;2;98;110.74
675;Baron;Tools;5;86;91.16
676;Diaz;UNKNOWN;4;44;48.4
677;Fabre;Games;4;66;72.6
678;Guibert;Cooking;3;44;48.4
679;Pages;Tools;1;51;55.59
680;Thierry;Cooking;5;22;24.2
681;Rey;Furniture;3;96;109.44
682;Fabre;Cooking;4;72;79.2
683;Rocher;Games;1;71;81.65
684;Teixeira;Computing;5;97;107.67
685;Martins;Computing;3;39;42.51
686;Denis;Cooking;6;36;41.04
687;Regnier;UNKNOWN;5;13;13.78
688;Leleu;Tools;2;36;40.68
689;Lucas;Tools;1;49;55.86
690;Munoz;Computing;2;68;75.48
691;Peltier;UNKNOWN;1;18;19.62
692;Bonnet;UNKNOWN;1;77;84.7
693;Torres;Computing;3;63;71.19
694;David;Furniture;3;30;33.9
695;Devaux;Computing;4;26;28.34
696;Coulon;Furniture;1;79;83.74
